id,fold,subject,true_type,pred_type,correct,prob_action,prob_memory,prob_plan,prob_reflection,prob_system
GPT-4o_018_alfworld_task_018,0,alfworld,action,system,0,0.03460155920567262,0.005280713018606257,0.03838047283562046,0.04137259514010444,0.8803646597999962
GPT-4o_019_alfworld_task_019,4,alfworld,action,reflection,0,9.785960510019054e-07,0.0007169321379972567,0.0059808144875651194,0.9930013888018204,0.00029988597656616236
GPT-4o_020_alfworld_task_020,1,alfworld,reflection,action,0,0.4927164895759308,0.05867108668836709,0.18794227990978649,0.18755509384554217,0.07311504998037338
GPT-4o_021_alfworld_task_021,0,alfworld,system,plan,0,0.28203651083763653,0.007433816306638851,0.6410553737888212,0.06737398820717355,0.002100310859729906
GPT-4o_022_alfworld_task_022,3,alfworld,plan,plan,1,0.04279470559551394,0.10295380689418909,0.6959878547216264,0.15410477584213092,0.004158856946539539
GPT-4o_023_alfworld_task_023,3,alfworld,memory,action,0,0.8114404241359214,0.0012677599457902127,0.17675048232745436,0.004955090876834961,0.0055862427139990855
GPT-4o_024_alfworld_task_024,1,alfworld,reflection,memory,0,0.0021985423080119366,0.8429637042336184,0.09302284503345269,0.06180826423785305,6.644187063941058e-06
GPT-4o_025_alfworld_task_025,3,alfworld,action,memory,0,0.10343048634659327,0.7251821837069281,0.026131212073483047,0.0033179944697232684,0.14193812340327247
GPT-4o_026_alfworld_task_026,4,alfworld,reflection,memory,0,0.006883994511516402,0.7441060551102435,0.06396127981063275,0.04909683237178369,0.13595183819582354
GPT-4o_027_alfworld_task_027,4,alfworld,memory,reflection,0,0.1373491259201422,0.020748865648639078,0.0030847688644285434,0.6145059735912197,0.22431126597557047
GPT-4o_029_alfworld_task_029,4,alfworld,memory,reflection,0,0.04117150278163645,0.06927899492764768,0.0837259519487966,0.8028236767669545,0.0029998735749647396
GPT-4o_030_alfworld_task_030,1,alfworld,plan,action,0,0.9583931204311829,0.0008101647842105501,0.02713785573481367,0.013189337922396528,0.0004695211273964306
GPT-4o_031_alfworld_task_031,4,alfworld,plan,reflection,0,0.020378914407623735,0.03638639712534304,0.09920912247402569,0.8416662386211078,0.0023593273718995615
GPT-4o_032_alfworld_task_032,2,alfworld,memory,plan,0,0.33731345166303267,0.004108363577059915,0.48541315707480986,0.1450910595874253,0.028073968097672194
GPT-4o_033_alfworld_task_033,0,alfworld,memory,reflection,0,0.13406633717829186,0.12881795865822035,0.056981390554676846,0.6801221484624546,1.2165146356329287e-05
GPT-4o_034_alfworld_task_034,2,alfworld,reflection,memory,0,0.3991388330281634,0.5971571967461908,0.003396394186152576,0.00022931678728952602,7.825925220385326e-05
GPT-4o_035_alfworld_task_035,2,alfworld,reflection,reflection,1,0.3381647739545496,0.0002088893396661338,0.240471382050649,0.3725889982185452,0.04856595643659009
GPT-4o_036_alfworld_task_036,1,alfworld,reflection,action,0,0.619975428039176,2.827950938501731e-05,0.33084686365392396,9.785376883083277e-05,0.04905157502868414
GPT-4o_037_alfworld_task_037,2,alfworld,memory,memory,1,0.32345510424264085,0.5097813999569009,0.16674191610530845,6.179147266627881e-06,1.540054788320801e-05
GPT-4o_039_alfworld_task_039,4,alfworld,memory,memory,1,0.000665361168097185,0.7779818670363043,0.2082911182178241,0.0006717290626706691,0.012389924515103654
GPT-4o_041_alfworld_task_041,1,alfworld,memory,memory,1,0.284017268948277,0.5747734466079846,0.036158907521768785,0.0750150190153725,0.030035357906597303
GPT-4o_043_alfworld_task_043,3,alfworld,reflection,action,0,0.8749722750529185,0.0714421994509723,0.0282403680118835,0.020710672245256256,0.0046344852389694395
GPT-4o_047_alfworld_task_047,3,alfworld,memory,reflection,0,0.2054068686492871,0.00131318810768413,0.219254855793857,0.5733605304769728,0.0006645569721989975
GPT-4o_048_alfworld_task_048,4,alfworld,reflection,action,0,0.6345461123825789,0.07953433776661678,0.0731944052501564,0.022399496082792784,0.1903256485178552
GPT-4o_049_alfworld_task_049,1,alfworld,memory,action,0,0.7397035885707504,0.039250278303740185,0.030267215750917512,0.18436112351986678,0.0064177938547252105
GPT-4o_052_alfworld_task_052,4,alfworld,plan,memory,0,0.006061793117234302,0.48553457832048824,0.1345110763806906,0.36786393870170153,0.006028613479885286
GPT-4o_053_alfworld_task_053,4,alfworld,reflection,reflection,1,0.04894521906666997,0.011769919227362742,0.010731874518772319,0.9213275330556092,0.007225454131585657
GPT-4o_054_alfworld_task_054,1,alfworld,plan,memory,0,0.015336530688278964,0.7705774418771322,0.16032781042034505,0.04394320277593229,0.009815014238311392
GPT-4o_055_alfworld_task_055,0,alfworld,reflection,memory,0,0.0012059732107903471,0.6237326805663818,0.14530441438085578,0.020346446832102905,0.2094104850098693
GPT-4o_056_alfworld_task_056,2,alfworld,plan,plan,1,0.012351476303487166,0.09697743060730403,0.5878948449979301,0.26154177213701174,0.04123447595426692
Llama3.3-70B-Turbo_001_001,3,alfworld,plan,memory,0,0.4231113967051658,0.5281769553098375,0.0015094278813251036,0.04245992753423094,0.004742292569440606
Llama3.3-70B-Turbo_002_002,0,alfworld,plan,reflection,0,0.03443666163472286,0.3286474216961715,0.002734707277866997,0.560273766793592,0.07390744259764674
Llama3.3-70B-Turbo_003_003,0,alfworld,plan,reflection,0,0.016404217960022602,0.0019701922193807,0.0013492253490986269,0.9792032280679733,0.0010731364035248098
Llama3.3-70B-Turbo_004_004,4,alfworld,action,plan,0,0.23578150723804303,0.0004029503605297088,0.7566716066036631,0.0009282357568704055,0.006215700040893785
Llama3.3-70B-Turbo_005_005,4,alfworld,plan,system,0,0.025046897498636162,0.0004298689977552322,0.00018584235803197896,0.0004293704736183651,0.9739080206719583
Llama3.3-70B-Turbo_006_006,1,alfworld,plan,memory,0,0.0007244756467126558,0.4087756532148187,0.10160618896783546,0.09700889182270381,0.39188479034792933
Llama3.3-70B-Turbo_007_007,2,alfworld,plan,system,0,0.0032484839141480415,0.15151059411406353,0.3008900776347167,0.022124989415168488,0.5222258549219032
Llama3.3-70B-Turbo_008_008,1,alfworld,action,memory,0,0.01589893992105495,0.3301760132782582,0.20229158977893733,0.2583200371575193,0.19331341986423028
Llama3.3-70B-Turbo_009_009,1,alfworld,action,memory,0,0.08476722960331944,0.7606085916915375,0.14524219774851438,0.00064020869950103,0.008741772257127654
Llama3.3-70B-Turbo_010_010,0,alfworld,action,reflection,0,0.041681304648838416,0.005074787915957517,0.42525476349440827,0.5266920267669113,0.0012971171738846577
Llama3.3-70B-Turbo_011_011,3,alfworld,action,plan,0,0.07584721842202423,0.019607835103963543,0.7252284876565099,0.00022028626529087844,0.17909617255221136
Llama3.3-70B-Turbo_012_012,1,alfworld,plan,plan,1,0.28622442007084714,0.0063888675523266995,0.405121595157516,0.02968304668987764,0.2725820705294325
Llama3.3-70B-Turbo_013_013,2,alfworld,action,plan,0,0.004921008011193236,0.011162053652847354,0.8699485489056334,0.01566547213684939,0.09830291729347652
Llama3.3-70B-Turbo_014_014,2,alfworld,memory,memory,1,0.1704130936446441,0.6485643227014227,0.17789922990707172,0.0024424361896412694,0.0006809175572203072
Llama3.3-70B-Turbo_015_037,2,alfworld,action,memory,0,0.025662189595978258,0.9368983972258615,0.03451738831493243,0.0029210438491287416,9.81014099004597e-07
Llama3.3-70B-Turbo_016_043,1,alfworld,action,reflection,0,0.01042707638589621,0.01779919960013601,0.032838398951481516,0.9249270928476211,0.014008232214865137
Llama3.3-70B-Turbo_017_044,0,alfworld,plan,action,0,0.9735970114989562,0.02421470524515397,0.00017206143876101555,0.001998482990272481,1.7738826856467263e-05
Llama3.3-70B-Turbo_018_045,3,alfworld,action,memory,0,0.4486542639645043,0.45401699344993457,0.0017395176824794218,0.047707539522611864,0.04788168538046992
Llama3.3-70B-Turbo_019_054,3,alfworld,memory,memory,1,0.17373615741827436,0.5393740782403232,0.23630830382973295,0.04614487183641312,0.004436588675256385
Llama3.3-70B-Turbo_020_057,0,alfworld,action,memory,0,0.057023863046715924,0.6270532658695822,0.2081600834100738,0.10698104113043996,0.00078174654318815
Llama3.3-70B-Turbo_021_059,0,alfworld,plan,memory,0,0.018105147884851146,0.7015663033970325,0.11096266071878648,0.040178421833931714,0.1291874661653982
Llama3.3-70B-Turbo_022_064,0,alfworld,reflection,system,0,4.647478528510814e-05,0.038557035311032196,0.18248366743779285,0.00013513213567242788,0.7787776903302175
Llama3.3-70B-Turbo_023_065,1,alfworld,memory,plan,0,0.0003600973087744497,0.009043052790108296,0.4105202010927906,0.18608114782999452,0.39399550097833214
Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,4,alfworld,system,reflection,0,2.4969043197517467e-05,1.2845687844871024e-06,0.0001386528643903463,0.7605547675276502,0.2392803259959774
Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,3,alfworld,plan,memory,0,0.09063503927887638,0.4405352446885597,0.11717575805648599,0.09072873537392127,0.26092522260215667
Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,4,alfworld,plan,plan,1,0.00016674507665639948,2.99354266518359e-05,0.9402268592210717,0.05481429505758426,0.004762165218035653
Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,1,alfworld,system,plan,0,0.007450326574744012,0.0023960690124869627,0.9146685805916415,0.05478206220389674,0.020702961617230797
Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,4,alfworld,system,plan,0,0.00303358490386095,7.166622528040498e-05,0.9857029358936173,0.008698766738104236,0.0024930462391369542
Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,3,alfworld,plan,reflection,0,0.0011444907219888849,0.0014837967609804318,0.189193241359574,0.7763989967496019,0.03177947440785489
Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,4,alfworld,system,reflection,0,9.48020953990202e-05,0.00016238042692662063,0.05414113873242662,0.9205063913724185,0.025095287372829164
Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,0,alfworld,reflection,system,0,0.0009038527344771279,4.912192161285624e-05,0.021436813803482505,0.2618659595885639,0.7157442519518635
Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,2,alfworld,system,system,1,8.917601335841049e-06,0.0007876702668294287,0.0014060347946967503,7.950210079625977e-05,0.9977178752363418
Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,3,alfworld,plan,plan,1,0.1337444405073397,0.0002661402568148207,0.5687506842276879,0.10314561632233778,0.19409311868581985
Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,3,alfworld,system,system,1,0.00023524325701746327,5.946313364469304e-05,0.01565413607092293,0.12346219727906119,0.8605889602593537
Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,2,alfworld,reflection,system,0,0.00010430329035901843,5.637132223454039e-06,0.0018529196136561944,0.12600820834687185,0.8720289316168895
Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,2,alfworld,plan,system,0,3.991327397341831e-06,9.685010458847924e-06,0.018050273654488365,0.0012395682258785437,0.9806964817817769
Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,2,alfworld,plan,system,0,4.337256015766519e-05,1.219632988057932e-07,0.01734549382995862,9.552395152869534e-05,0.9825154876950563
Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,0,alfworld,system,plan,0,0.012781251398567655,8.590740623688904e-06,0.5711785682520125,0.41301931987301593,0.003012269735780285
Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,0,alfworld,reflection,action,0,0.4987410865861034,1.3966712705091922e-05,0.412138449096818,0.0873657564398109,0.0017407411645624818
Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,3,alfworld,reflection,memory,0,0.015011234073289933,0.76573386454504,0.07610347777142346,7.16454030573408e-06,0.1431442590699409
Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,1,alfworld,reflection,system,0,6.281982013074304e-05,0.0020015132350322947,0.31879568190765434,0.0228779622196691,0.6562620228175136
Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,1,alfworld,plan,system,0,0.006430068833442524,0.14955776558612732,0.007439521157959702,0.09990091142780241,0.736671732994668
Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,4,alfworld,action,system,0,0.00015201865104963325,3.355837948763601e-07,0.014331482414693088,0.24305095115896588,0.7424652121914964
Qwen3-8B_021_id_21___chat_b012_t00_e02-1e119842,2,alfworld,plan,plan,1,0.001989422776299094,2.3078304262056754e-05,0.7477450174014768,0.1871591244127819,0.06308335710518015
Qwen3-8B_022_id_22___chat_b012_t00_e04-7e3c13ba,2,alfworld,reflection,reflection,1,8.843966787396827e-05,1.733495771701715e-05,0.24091737280994593,0.596869184784589,0.1621076677798743
Qwen3-8B_023_id_23___chat_b013_t00_e00-d3248f80,4,alfworld,plan,plan,1,0.0007419746113928694,1.768433877902112e-05,0.641214602720444,0.06976651998313092,0.2882592183462534
Qwen3-8B_024_id_24___chat_b013_t00_e01-5b8f974f,1,alfworld,system,reflection,0,0.2851404739333148,0.0003957956427016699,0.23613750302225375,0.4490690109898474,0.029257216411882295
Qwen3-8B_025_id_25___chat_b013_t00_e03-d2034edc,1,alfworld,plan,reflection,0,0.0023962903619855523,7.948354883653751e-05,0.13028278400923704,0.8665470204270036,0.000694421652937365
Qwen3-8B_026_id_26___chat_b014_t00_e04-7e3c13ba,4,alfworld,plan,reflection,0,0.01057607749644553,0.00011797501517113308,0.0030437558688390077,0.9823633175418416,0.0038988740777026634
Qwen3-8B_027_id_27___chat_b015_t00_e02-1e119842,1,alfworld,reflection,action,0,0.9550834781754772,7.573154647497963e-08,0.035229618852532826,0.002199127169755913,0.007487700070687527
