id,fold,subject,true_type,pred_type,correct,prob_action,prob_memory,prob_plan,prob_planning,prob_reflection,prob_system
GPT-4o_033_alfworld_task_033,1,alfworld,memory,memory,1,0.06252156884228502,0.43236016384642456,0.3738347521413185,0.0018403745790461998,0.12885081392993414,0.0005923266609916494
GPT-4o_034_alfworld_task_034,3,alfworld,reflection,action,0,0.3526572880774257,0.08258284424654638,0.0045495197075437754,0.03919086018675183,0.29700923767618076,0.22401025010555148
GPT-4o_035_alfworld_task_035,4,alfworld,reflection,action,0,0.413895182504487,0.024633389248665805,0.3163423498018097,0.00014635969511079654,0.19591604357445763,0.049066675175469115
GPT-4o_036_alfworld_task_036,1,alfworld,reflection,planning,0,0.0015277270884543198,0.430454187007722,0.10104906780065782,0.4561302950290359,0.009733114912036107,0.0011056081620938688
GPT-4o_037_alfworld_task_037,2,alfworld,memory,action,0,0.7075553860702,0.1349757501993997,0.1313150700701076,5.711141885931356e-05,0.0005649827324542417,0.025531699508979194
GPT-4o_038_alfworld_task_038,2,alfworld,planning,plan,0,0.00014519477252778417,0.2042441433788622,0.781335128666661,3.77993325871534e-05,0.00785460885978403,0.006383124989577865
GPT-4o_039_alfworld_task_039,1,alfworld,memory,memory,1,0.0001654254763473284,0.9734743151205458,0.025181793236157032,0.00021639906874883116,0.00014421448187163028,0.0008178526163293528
GPT-4o_040_alfworld_task_040,3,alfworld,planning,plan,0,0.08497505764973368,0.3893263433942003,0.5049833821258313,0.003686441558627432,0.010560738602239179,0.006468036669368227
GPT-4o_041_alfworld_task_041,2,alfworld,memory,action,0,0.9056801609153504,0.010590670652763513,0.001094719242777543,0.00014357950231174148,2.137972018231889e-05,0.08246948996661463
GPT-4o_043_alfworld_task_043,4,alfworld,reflection,memory,0,0.1994874201914118,0.4976709606367275,0.1021720196485979,0.034255930321703605,0.13292749524376662,0.033486173957792645
GPT-4o_047_alfworld_task_047,1,alfworld,memory,memory,1,0.047276539359264194,0.42856299243221563,0.3462153970219993,0.013202453178389778,0.161419834186014,0.0033227838221172768
GPT-4o_048_alfworld_task_048,1,alfworld,reflection,system,0,0.17572673107987452,0.1912105695488637,0.039149716030807594,0.0013152422397629108,0.01587288366888892,0.5767248574318024
GPT-4o_049_alfworld_task_049,2,alfworld,memory,memory,1,0.06737769204367106,0.8925700025297075,0.0010736691557479462,2.5253448947700776e-05,0.004531264509893712,0.034422118312032186
GPT-4o_052_alfworld_task_052,3,alfworld,plan,action,0,0.7678063313626882,0.18657146831978536,0.025435815692853997,3.0465684625114023e-05,0.012812341332423045,0.007343577607624285
GPT-4o_053_alfworld_task_053,2,alfworld,reflection,memory,0,0.001399684700978611,0.45254847201996173,0.25105814036829865,0.00044054680787767865,0.2616079484777542,0.03294520762512911
GPT-4o_054_alfworld_task_054,4,alfworld,plan,memory,0,0.1111941550238208,0.7630981612719785,0.09717996681975372,0.0005983938577620364,0.008928501548469057,0.019000821478216055
GPT-4o_055_alfworld_task_055,2,alfworld,reflection,plan,0,0.026853331588695135,0.007092652996954755,0.6479298553714067,0.00011692098332721676,0.03921410645708821,0.2787931326025279
GPT-4o_056_alfworld_task_056,1,alfworld,plan,plan,1,9.587144324423087e-05,0.16376039707458953,0.75489415342199,0.012925631897890009,0.05928193932114409,0.0090420068411421
Llama3.3-70B-Turbo_001_001,2,alfworld,plan,action,0,0.5482683465700533,0.2601122868288179,0.00416820828592621,0.0006609109324375163,0.1363520939679981,0.05043815341476702
Llama3.3-70B-Turbo_002_002,3,alfworld,plan,reflection,0,0.03967380548479948,0.05987357190343482,0.19187693407354778,8.335783431389985e-05,0.7077231132036514,0.0007692175002525647
Llama3.3-70B-Turbo_003_003,2,alfworld,plan,reflection,0,0.0025891289374375044,0.11350626598037931,0.10568574565145764,0.0005093274306181545,0.7767821357781395,0.0009273962219680461
Llama3.3-70B-Turbo_004_004,2,alfworld,action,memory,0,0.02009533834812605,0.8788070505366189,0.08527024007488841,0.0002441107825662169,0.009523010867798687,0.006060249390001556
Llama3.3-70B-Turbo_005_005,0,alfworld,plan,system,0,0.11923013495493869,0.002975281409314518,0.00024147240240999382,0.43242180649838324,0.007100799618952898,0.4380305051160006
Llama3.3-70B-Turbo_006_006,1,alfworld,plan,memory,0,0.03752963234443522,0.6076923040269534,0.15218650046496557,0.002208472114090029,0.1046087954738514,0.09577429557570445
Llama3.3-70B-Turbo_007_007,0,alfworld,plan,system,0,0.006179845471935642,0.022783884786149854,0.03620392194659288,0.00834975462897406,0.0012882218111788652,0.9251943713551686
Llama3.3-70B-Turbo_008_008,4,alfworld,action,memory,0,0.0009988769132911006,0.35270334110402773,0.17410841814736766,0.0004729668679350643,0.22870430674268333,0.243012090224695
Llama3.3-70B-Turbo_009_009,3,alfworld,action,plan,0,0.06682608933013442,0.025799534243911917,0.8976913575261001,0.00010194916027023931,0.0006584705299898666,0.00892259920959351
Llama3.3-70B-Turbo_010_010,0,alfworld,action,memory,0,0.003966497108554494,0.5800091129710645,0.36123249250587014,0.0001307549110425244,0.04061457284043901,0.014046569663029364
Llama3.3-70B-Turbo_011_011,2,alfworld,action,plan,0,0.017831802641779828,0.014313555049807643,0.9590283779480958,0.000244898770204467,0.0003301164013410637,0.008251249188771308
Llama3.3-70B-Turbo_012_012,1,alfworld,plan,action,0,0.7826425260702111,0.17252073293475897,0.03378069548427172,0.00011563047041723246,0.006989208601095904,0.00395120643924502
Llama3.3-70B-Turbo_013_013,1,alfworld,action,plan,0,0.0008145883592066155,0.06527881639904246,0.8955445937952805,0.03580021882038297,0.0025394086107550164,2.2374015332443448e-05
Llama3.3-70B-Turbo_014_014,1,alfworld,memory,memory,1,0.21949568445929601,0.6609885205866646,0.017961572105811563,0.00050008144213699,0.08618886472092842,0.014865276685162392
Llama3.3-70B-Turbo_015_037,0,alfworld,action,memory,0,0.024660090679253573,0.9711614583300443,0.00168167096873754,8.78417881250828e-05,0.002273117599561246,0.0001358206342781577
Llama3.3-70B-Turbo_016_043,4,alfworld,action,system,0,8.785602781179381e-05,0.033432962164565594,0.10237469730184366,0.060068533074481595,0.2947623755490609,0.5092735758822364
Llama3.3-70B-Turbo_017_044,2,alfworld,plan,planning,0,0.007753681681966596,0.08009774219293367,0.0009841924878138324,0.9018668885767752,0.0020249975530181904,0.00727249750749253
Llama3.3-70B-Turbo_018_045,4,alfworld,action,memory,0,0.012209681750603961,0.6039413442869945,0.003046939604707388,0.0007531564158264866,0.3449754761015526,0.03507340184031517
Llama3.3-70B-Turbo_019_054,4,alfworld,memory,reflection,0,0.03424535367469499,0.002926568125523248,0.11501656085371213,0.0007943511941885746,0.8409011950855844,0.006115971066296856
Llama3.3-70B-Turbo_020_057,3,alfworld,action,memory,0,0.08646873788877239,0.710206265651728,0.15533896336227673,0.0016976190626621416,0.013899935407365203,0.032388478627195676
Llama3.3-70B-Turbo_021_059,0,alfworld,plan,plan,1,0.03369853237434655,0.00016782291048262542,0.46858478174314167,0.02966424093948538,0.2997609202903607,0.16812370174218305
Llama3.3-70B-Turbo_022_064,2,alfworld,reflection,plan,0,0.008229053166542865,0.0018375367066867966,0.6930471925325142,0.007008080172293182,0.0005635007791260324,0.28931463664283696
Llama3.3-70B-Turbo_023_065,0,alfworld,memory,reflection,0,0.005465579529482796,0.017188291010710354,0.2640243724917857,0.006765623371289365,0.5110722070674507,0.19548392652928126
Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,4,alfworld,system,system,1,1.981138565347023e-06,5.5134106565236315e-05,3.5611333339942974e-06,0.0012960954267450186,0.017512525834623635,0.9811307023601668
Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,2,alfworld,plan,system,0,0.004046165898782343,0.2279141261569657,0.20765142393235098,0.05564245096695704,0.0027611584674816026,0.5019846745774623
Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,3,alfworld,plan,plan,1,0.003642329096619197,0.006524454598603994,0.727034805620203,0.10994195097244586,0.06395194322229374,0.08890451648983419
Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,3,alfworld,system,reflection,0,0.001859173401978763,0.06143385182188117,0.11258933779827346,0.009560774738766228,0.8055984848790783,0.008958377360022198
Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,3,alfworld,system,plan,0,0.04556875718072734,0.024165135013993002,0.6657321756852954,1.7225056489742353e-05,0.26333283802639046,0.0011838690371039377
Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,3,alfworld,plan,reflection,0,0.0022747784965789918,0.11997593346535529,0.11386725291904819,0.08517603737810736,0.5389749100440993,0.13973108769681097
Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,1,alfworld,system,system,1,0.0006467937977919894,0.0002487545122642291,0.04353957288215041,0.0001230382739772445,0.05328926886249874,0.9021525716713175
Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,1,alfworld,reflection,system,0,1.0376670025288634e-06,4.838359928156826e-08,6.466025508896545e-05,1.134272639742162e-05,0.000906426202887759,0.9990164847650239
Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,3,alfworld,system,system,1,0.001285109880857592,0.0013320908013809624,0.0027698229598251403,0.003168613533970736,0.0008685069867098242,0.9905758558372556
Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,1,alfworld,plan,plan,1,0.002628876245086635,0.020086154447463696,0.8364728298756368,0.0005370826777181266,0.00010286698605271755,0.1401721897680421
Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,3,alfworld,system,reflection,0,0.19444987925543933,0.004987663894977797,0.020615759535011824,0.0004537009378798289,0.640572398796256,0.13892059758043507
Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,1,alfworld,reflection,system,0,0.0005353443867656201,0.06811728757760568,0.024532662007951345,0.00024213130989939892,0.3529819584642142,0.5535906162535638
Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,3,alfworld,plan,system,0,1.3109691890766962e-05,0.0011956189595034186,0.41684377118890226,0.04934077723775097,0.05785728926247522,0.4747494336594774
Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,2,alfworld,plan,system,0,3.377814348585388e-08,0.00010450412722559044,0.004167326102134322,7.611870088679345e-05,0.00567456749677072,0.989977449794839
Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,2,alfworld,system,reflection,0,1.8663464468890155e-06,0.003429743177073178,0.00921229479715633,0.0016687379883506147,0.9855172160117841,0.00017014167918871114
Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,3,alfworld,reflection,memory,0,0.042672927965066054,0.6093644461728259,0.3127356420281695,0.02033566967106853,0.0003977345671806544,0.014493579595689221
Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,2,alfworld,reflection,action,0,0.43609864721859576,0.230957325898625,0.09632754342963636,4.472351685024788e-06,0.0002416739657298652,0.23637033713572791
Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,3,alfworld,reflection,system,0,0.004126397803578533,0.001137533917274792,0.1240095397156045,0.004377411867682332,0.0021132056915342686,0.8642359110043255
Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,2,alfworld,plan,system,0,0.0017271814374029435,0.001199890652495547,0.19684882459602263,0.0016500621918754252,0.0038945698166091987,0.7946794713055944
Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,2,alfworld,action,plan,0,1.0206579492653528e-06,0.0008413424009797629,0.732271937129113,0.1484994153595287,0.08646911693302867,0.03191716751940041
Qwen3-8B_021_id_21___chat_b012_t00_e02-1e119842,2,alfworld,plan,reflection,0,1.2812708893831948e-07,0.0010160467094721655,0.37857632929188634,0.004449077885978651,0.5710734319030962,0.04488498608247767
Qwen3-8B_022_id_22___chat_b012_t00_e04-7e3c13ba,3,alfworld,reflection,plan,0,1.864228768466857e-05,2.8358181480413984e-05,0.9987955280168891,3.123350212804522e-05,0.0011139543875404462,1.2283624277096423e-05
Qwen3-8B_023_id_23___chat_b013_t00_e00-d3248f80,2,alfworld,plan,system,0,2.2691500357259383e-05,0.00017097795904662822,0.023125524982278288,0.0023676566394667076,0.0016437056038529723,0.9726694433149982
Qwen3-8B_024_id_24___chat_b013_t00_e01-5b8f974f,0,alfworld,system,plan,0,0.36050098887849685,0.012056238374279632,0.5641462262372808,0.00862262517736655,0.011273495172866263,0.0434004261597098
Qwen3-8B_025_id_25___chat_b013_t00_e03-d2034edc,4,alfworld,plan,plan,1,0.00021325387031142528,0.0006888398886549903,0.8058017606051285,0.01672435938702882,0.14920335538181723,0.02736843086705906
Qwen3-8B_026_id_26___chat_b014_t00_e04-7e3c13ba,0,alfworld,plan,reflection,0,0.0005578969530247065,0.04700933638690818,0.05522767157672335,4.001022115385067e-05,0.8969667461273034,0.00019833873488643946
Qwen3-8B_027_id_27___chat_b015_t00_e02-1e119842,2,alfworld,reflection,system,0,1.2572386214167509e-08,3.11265421102071e-07,0.0005004334399080649,2.2529723542774225e-06,0.058998238648083075,0.9404987511018472
GPT-4o_001_memory_b000_t00_e00-7743eba0,2,gaia,planning,planning,1,0.33232811140423063,0.030310883657254963,0.003984620944376447,0.6296174145280538,0.00010390969501434861,0.0036550597710700247
GPT-4o_002_memory_b000_t00_e01-7ab08a46,3,gaia,action,reflection,0,5.507895757449219e-05,0.0015410982743906067,0.006362207518355818,2.5769353987491653e-05,0.9904988539065327,0.0015169919891588205
GPT-4o_003_memory_b000_t00_e03-21a3a421,1,gaia,planning,planning,1,3.840192864278953e-08,0.010964162540975998,0.000645365570198829,0.9820632316164595,0.005123660179894646,0.0012035416905425845
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,4,gaia,planning,planning,1,2.0364929848772834e-07,1.5397246223065288e-11,1.101448162440732e-05,0.9979556518822198,0.0016709451494203453,0.00036218482203975846
GPT-4o_005_memory_b000_t00_e05-c9015705,0,gaia,planning,action,0,0.9142139070538774,1.0201275454188833e-05,0.00882449895340564,0.038142911488712725,0.03866985896947773,0.00013862225907234146
GPT-4o_006_memory_b000_t00_e06-71f77595,3,gaia,memory,memory,1,2.6135154725976785e-05,0.6360953269855869,0.0002684299223997014,0.005506537148103171,0.35789746576223586,0.00020610502694844634
GPT-4o_007_memory_b000_t00_e08-f572f2ad,0,gaia,memory,reflection,0,0.016761863390375192,6.504107403021519e-05,0.08022426062295342,0.011166201101140314,0.8917402188085063,4.2415002994520653e-05
GPT-4o_008_memory_b000_t00_e09-f0557a9f,0,gaia,planning,action,0,0.9520309629242826,0.0009447941914671054,0.0013607713810691185,0.041951483368697404,0.001465394605578599,0.0022465935289053317
GPT-4o_009_memory_b001_t00_e01-7ab08a46,2,gaia,planning,memory,0,0.04827124480930412,0.5675103035486356,0.00014191292973884495,5.199116602483872e-05,0.1890065325577644,0.19501801498853205
GPT-4o_010_memory_b001_t00_e02-8d639e26,4,gaia,planning,planning,1,0.02714000445360652,0.04507954810252318,0.0029173979924904743,0.9231753534390371,0.0012898498807677277,0.0003978461315749161
GPT-4o_011_memory_b001_t00_e03-21a3a421,1,gaia,memory,planning,0,0.36709006332981897,0.05244473843258144,2.633214146868775e-05,0.5765941892166326,0.003843663693664109,1.0131858341939733e-06
GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,3,gaia,action,planning,0,8.888013648338106e-05,0.07751404885998506,0.0018172328963786911,0.9118685241789478,0.007452779814456752,0.0012585341137483393
GPT-4o_013_memory_b001_t00_e05-c9015705,4,gaia,action,memory,0,0.005302398514187381,0.8828852271291754,1.1997805906717825e-06,0.09504386994495019,0.015275835692282724,0.0014914689388135915
GPT-4o_014_memory_b001_t00_e06-71f77595,0,gaia,planning,reflection,0,0.08718520184624032,0.0037298580067861935,0.2849148323056232,0.06745542746974195,0.5221439955146586,0.03457068485694969
GPT-4o_015_memory_b001_t00_e07-f5b5d66a,4,gaia,reflection,planning,0,0.007322040553024751,0.06500157332842289,0.35611011202507376,0.5648485927408435,0.006071930794926336,0.0006457505577088455
GPT-4o_016_memory_b001_t00_e08-f572f2ad,2,gaia,planning,reflection,0,0.08995454924153569,0.014298246316084217,0.0004982112135064013,0.0216906336393525,0.872414005935788,0.0011443536537331473
Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,3,gaia,planning,planning,1,0.09352824116343303,0.34928807890561525,0.0003685615110914944,0.5511927997809921,0.0003888142495284609,0.005233504389339641
Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,1,gaia,planning,plan,0,5.9400788058892814e-06,1.2828881256984505e-05,0.9488687290186211,6.278968302681998e-06,0.0006239376198652901,0.050482285433148116
Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,1,gaia,action,action,1,0.5633840040290183,0.291870684113612,3.772795780396457e-05,0.09126699908396065,0.004498174200190369,0.04894241061541473
Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,4,gaia,planning,planning,1,0.00047022336416463765,0.00020900385017431303,0.021221169891241645,0.8574325984537664,0.09325132755953161,0.027415676881121485
Llama3.3-70B-Turbo_005_memory_b000_t00_e04-5e8c1dcf,3,gaia,system,reflection,0,1.1955542611622255e-06,6.725975972603579e-05,0.0016716006570034144,0.001985511069080224,0.9955063900203407,0.0007680429395885396
Llama3.3-70B-Turbo_006_memory_b000_t00_e05-c9015705,4,gaia,reflection,planning,0,0.3001535199254023,0.20524663226925985,0.0002803757122837617,0.4868816717439882,0.007262122286199244,0.00017567806286667136
Llama3.3-70B-Turbo_007_memory_b000_t00_e08-f572f2ad,0,gaia,action,action,1,0.5338275343877902,0.35158638117999974,0.00037684301780249697,0.05066951718758335,0.063393381255931,0.0001463429708934004
Llama3.3-70B-Turbo_008_memory_b000_t00_e09-f0557a9f,3,gaia,planning,planning,1,0.028353685084743903,0.2731516265261889,0.000374098643115457,0.6978349164943181,6.340409862116992e-06,0.00027933284177146365
Llama3.3-70B-Turbo_009_memory_b001_t00_e00-7743eba0,0,gaia,memory,action,0,0.8622543850006813,1.931920895633436e-06,2.113432915056128e-05,0.13739103829797344,9.723935808164888e-05,0.00023427109321739014
Llama3.3-70B-Turbo_010_memory_b001_t00_e01-7ab08a46,4,gaia,memory,memory,1,7.733199875581065e-05,0.7107377610773008,0.000180807983728024,0.0022713705537536675,0.2277046337798546,0.05902809460660692
Llama3.3-70B-Turbo_011_memory_b001_t00_e02-8d639e26,0,gaia,planning,planning,1,0.062234672487574735,1.736415235674065e-06,0.01535102385856223,0.8743572833820689,0.04698839916848876,0.001066884688069747
Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421,0,gaia,reflection,reflection,1,0.010536883898129689,0.0006337352608561316,0.013319911829828057,0.0020876775993233405,0.9732312121949506,0.00019057921691229357
Llama3.3-70B-Turbo_013_memory_b001_t00_e04-5e8c1dcf,4,gaia,reflection,reflection,1,0.0004897584315147179,0.11427438314954085,0.0007572963957086116,0.13920800584262683,0.7451744677037135,9.608847689551508e-05
Llama3.3-70B-Turbo_014_memory_b001_t00_e05-c9015705,2,gaia,system,planning,0,1.4829285949674194e-06,0.00047686223064159425,0.009980487006631237,0.5933360050957805,0.07445338275510925,0.3217517799832424
Llama3.3-70B-Turbo_015_memory_b001_t00_e06-71f77595,4,gaia,action,planning,0,5.525210746641122e-05,0.07467539472443739,0.0012914672979919225,0.9125936643472933,0.01088066276890729,0.0005035587539035995
Llama3.3-70B-Turbo_016_memory_b001_t00_e07-f5b5d66a,1,gaia,planning,planning,1,0.02717458049562085,0.017193910021928212,4.21594742442859e-05,0.9536832479993754,1.7563526692760736e-05,0.0018885384821384459
Llama3.3-70B-Turbo_017_memory_b001_t00_e08-f572f2ad,2,gaia,planning,planning,1,0.021237405461670855,0.035206935641225436,0.008237952855267997,0.8705118980066422,0.001163855770869771,0.06364195226432359
Qwen3-8B_001_memory_b000_t00_e00-7743eba0,3,gaia,planning,memory,0,0.26722210211042957,0.47299661245645264,0.00011923825331327681,0.23089539125135997,0.02507759761481415,0.0036890583136305268
Qwen3-8B_002_memory_b000_t00_e01-7ab08a46,0,gaia,planning,reflection,0,0.0028525512963240023,2.9307898279690163e-06,0.004680450696716305,0.0079381438898784,0.9804442350532472,0.004081688274006091
Qwen3-8B_003_memory_b000_t00_e02-8d639e26,1,gaia,planning,system,0,0.0006115046162854513,0.003663142558460281,0.00019739092802336424,0.000837444828807613,0.47173737747470457,0.5229531395937188
Qwen3-8B_004_memory_b000_t00_e04-5e8c1dcf,3,gaia,planning,system,0,9.744612656287408e-06,9.710091803684822e-05,0.08785347596426134,0.3884746843767005,0.06468664511922327,0.4588783490091218
Qwen3-8B_005_memory_b000_t00_e05-c9015705,1,gaia,planning,reflection,0,0.03877433618823183,6.175642412858704e-08,0.005225550002865198,0.019214220717491348,0.9367766213548389,9.209980148683092e-06
Qwen3-8B_006_memory_b000_t00_e06-71f77595,4,gaia,system,planning,0,5.158857997511076e-07,9.242326508519886e-08,1.854762459486131e-05,0.9909749559298516,0.0035920149604003896,0.005413873176088199
Qwen3-8B_007_memory_b000_t00_e07-f5b5d66a,3,gaia,planning,reflection,0,6.103135743484875e-07,9.933074874180952e-06,7.469933864970925e-05,0.0015344927784687117,0.9973207380069739,0.001059526487459136
Qwen3-8B_008_memory_b000_t00_e08-f572f2ad,2,gaia,reflection,planning,0,7.351964945080097e-05,4.815470069581439e-05,4.710697399690116e-06,0.9998724781269904,4.731108047901352e-07,6.63714658457291e-07
Qwen3-8B_009_memory_b000_t00_e09-f0557a9f,4,gaia,planning,planning,1,0.04097901957324573,1.2975177057751902e-05,2.773463047635252e-06,0.9586586186390142,0.00034449415910089347,2.1189885337605964e-06
Qwen3-8B_010_memory_b001_t00_e00-7743eba0,1,gaia,planning,planning,1,3.076358968864191e-07,9.890337405971098e-06,0.04278457034859662,0.838778201667007,0.029106209669201504,0.089320820341892
Qwen3-8B_011_memory_b001_t00_e01-7ab08a46,0,gaia,system,reflection,0,0.023334831397349085,0.002536706991790544,0.20132303164279272,0.0007488439523007032,0.7720322689354099,2.4317080357153455e-05
