id,umap_x,umap_y,target,framework,hallucination_category,hallucination_subcategory,subject
BFCL/028,11.019473,11.237144,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/029,10.415867,11.441807,1,BFCL,,,Tool Use
BFCL/030,9.166339,11.881013,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/031,8.91508,7.0005364,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/032,9.952576,10.457176,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/033,10.0191965,11.663894,1,BFCL,,,Tool Use
BFCL/034,10.056912,11.708239,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/035,12.057275,11.421781,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/036,10.059285,8.339828,1,BFCL,,,Tool Use
BFCL/037,11.917155,9.917854,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/038,9.487817,10.641441,1,BFCL,,,Tool Use
BFCL/039,9.070565,12.186907,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/040,10.226198,11.435339,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/041,11.89914,11.25555,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/042,10.551528,11.412126,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/043,8.823569,11.380473,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/044,10.799559,11.86721,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/045,11.051144,11.309545,1,BFCL,,,Tool Use
BFCL/046,9.635708,12.010958,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/047,9.195111,12.014874,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/048,9.924541,12.403991,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/049,9.072649,11.359525,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/050,9.673329,11.39238,1,BFCL,,,Tool Use
BFCL/051,11.493427,10.3071995,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/052,8.2948885,8.457092,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/053,10.191565,9.15282,1,BFCL,,,Tool Use
BFCL/054,9.766811,12.3751955,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/055,8.672005,11.550152,1,BFCL,,,Tool Use
BFCL/056,9.641132,12.094253,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/057,10.777691,11.89403,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/058,10.822467,10.809153,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/059,10.217086,11.662142,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/060,8.732383,11.936005,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/061,9.329377,12.095869,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/062,11.770469,10.050633,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/063,9.962134,11.691401,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/064,10.70977,10.955004,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/065,11.278398,11.015711,1,BFCL,,,Tool Use
BFCL/066,8.782421,8.616376,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/067,10.748543,10.6664,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/068,8.126429,12.295604,1,BFCL,,,Tool Use
BFCL/069,9.753525,10.461052,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/070,8.5949745,11.610326,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/071,11.247392,10.850124,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/072,10.94385,9.240104,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/073,8.894396,11.278425,1,BFCL,,,Tool Use
BFCL/074,11.284068,10.6958685,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/075,9.999563,11.613868,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/076,10.387191,11.341116,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/077,9.898629,11.451174,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/078,10.3798,11.2815895,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/079,10.548432,10.47593,1,BFCL,,,Tool Use
BFCL/080,9.160409,12.350824,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/081,9.55448,12.036215,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/082,8.9886265,11.153474,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/083,11.357965,10.122149,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/084,8.087982,12.250534,1,BFCL,,,Tool Use
BFCL/085,10.098856,11.916468,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/086,9.430464,12.282803,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/087,8.943425,12.078323,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/088,11.785549,9.663574,1,BFCL,,,Tool Use
BFCL/089,11.242349,10.435743,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/090,11.927805,9.98229,1,BFCL,,,Tool Use
BFCL/091,8.167663,12.260296,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/092,9.187225,10.0279455,1,BFCL,,,Tool Use
BFCL/093,9.432647,12.41168,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/094,11.097674,11.78508,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/095,9.601675,11.58578,1,BFCL,,,Tool Use
BFCL/096,9.687137,12.234467,1,BFCL,,,Tool Use
BFCL/097,9.011888,12.458236,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/098,9.277428,12.530534,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/099,9.752866,12.29874,1,BFCL,,,Tool Use
BFCL/100,9.655545,10.638534,1,BFCL,,,Tool Use
BFCL/101,9.8823395,12.3305435,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/102,11.958615,11.376693,1,BFCL,,,Tool Use
BFCL/103,10.899279,11.255691,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/104,10.030834,10.932783,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/105,8.533142,11.998626,1,BFCL,,,Tool Use
BFCL/106,10.433683,11.281691,1,BFCL,,,Tool Use
BFCL/107,10.826251,11.758899,1,BFCL,,,Tool Use
BFCL/108,8.690159,9.135997,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/109,9.069422,11.605851,1,BFCL,,,Tool Use
BFCL/110,8.7886095,9.0921755,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/111,9.082244,12.198259,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/112,9.03715,10.679002,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/113,9.379873,11.861592,1,BFCL,,,Tool Use
BFCL/114,9.109667,11.559353,1,BFCL,,,Tool Use
BFCL/115,9.282085,9.196795,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/116,10.353643,11.218606,1,BFCL,,,Tool Use
BFCL/117,9.449173,11.645943,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/118,11.518967,10.228615,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/119,10.578289,11.530238,1,BFCL,,,Tool Use
BFCL/120,9.840605,10.466648,1,BFCL,,,Tool Use
BFCL/121,10.2166195,9.092355,1,BFCL,,,Tool Use
BFCL/122,11.270218,11.235633,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/123,11.331838,10.4639435,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/124,9.393442,11.990693,1,BFCL,,,Tool Use
BFCL/125,8.955996,12.388468,1,BFCL,,,Tool Use
BFCL/126,9.950535,11.916408,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/127,10.434036,11.0383835,1,BFCL,,,Tool Use
BFCL/128,9.95,10.296578,1,BFCL,,,Tool Use
BFCL/129,10.976603,11.838647,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/130,8.963212,11.825388,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/131,11.796392,11.486079,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/132,9.050967,11.453659,1,BFCL,,,Tool Use
BFCL/133,9.370987,11.637746,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/134,8.992861,12.353878,1,BFCL,,,Tool Use
BFCL/135,9.571803,10.891578,1,BFCL,,,Tool Use
BFCL/136,9.903151,12.316345,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/137,11.157685,10.699521,1,BFCL,,,Tool Use
BFCL/138,9.514451,11.693658,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/139,9.749265,12.262826,0,BFCL,Tool-Use Hallucination,Missing Required Call,Tool Use
BFCL/140,10.603555,12.04661,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/141,10.973399,11.351562,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/142,9.105387,12.059018,1,BFCL,,,Tool Use
BFCL/143,11.887061,9.858309,1,BFCL,,,Tool Use
BFCL/144,12.041444,10.122976,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/145,10.341568,9.964312,1,BFCL,,,Tool Use
BFCL/146,10.576552,11.113798,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/147,10.998766,10.665994,1,BFCL,,,Tool Use
BFCL/148,8.7058735,11.488252,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/149,9.771661,12.301448,1,BFCL,,,Tool Use
BFCL/150,11.941135,9.904676,1,BFCL,,,Tool Use
BFCL/151,9.535576,11.959517,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/152,9.316792,12.58321,1,BFCL,,,Tool Use
BFCL/153,9.076765,12.40261,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/154,8.62337,11.890777,1,BFCL,,,Tool Use
BFCL/155,9.117887,12.435414,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/156,9.714669,11.956273,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/157,10.88945,10.850342,1,BFCL,,,Tool Use
BFCL/158,9.103389,12.118932,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/159,9.473222,9.237305,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/160,9.085243,12.431241,0,BFCL,Tool-Use Hallucination,Unnecessary Tool Call,Tool Use
BFCL/161,11.603285,10.195086,0,BFCL,Tool-Use Hallucination,Incorrect Tool Arguments,Tool Use
BFCL/162,9.363393,7.606931,0,BFCL,Tool-Use Hallucination,Parallel Call Conflict,Tool Use
BFCL/163,10.113397,11.438529,1,BFCL,,,Tool Use
Camel/000,2.0423765,10.723967,0,Camel,Reasoning Hallucination,Math Reasoning,Math
Camel/001,2.542336,7.747601,1,Camel,,,Science
Camel/002,9.147465,9.2499,1,Camel,,,General Assistant
Camel/003,1.7578472,9.796289,0,Camel,Reasoning Hallucination,Math Reasoning,Math
Camel/004,2.2183466,9.906664,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/005,8.567905,11.844243,0,Camel,Reasoning Hallucination,General Reasoning,General Assistant
Camel/006,0.98899597,9.193015,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/007,1.4955032,8.139833,1,Camel,,,Science
Camel/008,10.279891,9.823794,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Camel/009,8.872028,12.040279,0,Camel,Reasoning Hallucination,Math Reasoning,Math
Camel/010,1.7457222,10.254869,1,Camel,,,General Assistant
Camel/011,0.8155027,8.788273,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/012,8.234407,12.02873,0,Camel,Retrieval Hallucination,Summarize Misalign,General Assistant
Camel/013,1.6926043,10.4472685,1,Camel,,,General Assistant
Camel/014,2.6996377,8.984557,0,Camel,Retrieval Hallucination,Query Misalign,Science
Camel/015,9.169228,11.727771,1,Camel,,,General Assistant
Camel/016,9.288296,10.636494,0,Camel,Planning Hallucination,Task Decompose,World Knowledge
Camel/017,1.3677694,9.496524,1,Camel,,,Science
Camel/018,0.9569493,9.609948,0,Camel,Planning Hallucination,Task Decompose,Science
Camel/019,10.535143,7.814108,0,Camel,Reasoning Hallucination,General Reasoning,General Assistant
Camel/020,3.1579316,10.253009,0,Camel,Retrieval Hallucination,Summarize Misalign,World Knowledge
Camel/021,2.1429832,8.571854,0,Camel,Retrieval Hallucination,Summarize Misalign,Science
Camel/022,8.836429,9.697073,0,Camel,Retrieval Hallucination,Summarize Misalign,General Assistant
Camel/023,10.147137,9.338456,1,Camel,,,General Assistant
Camel/024,9.879481,10.049893,0,Camel,Planning Hallucination,Task Decompose,General Assistant
Camel/025,0.8260959,9.203377,1,Camel,,,Math
Camel/026,2.8805568,9.969654,0,Camel,Reasoning Hallucination,Math Reasoning,Math
Camel/027,7.786902,7.779578,0,Camel,Reasoning Hallucination,Math Reasoning,Math
Camel/028,10.447836,6.209086,1,Camel,,,World Knowledge
Camel/029,8.613024,8.586596,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,World Knowledge
Camel/030,0.6467235,9.288673,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/031,1.507189,8.73126,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/032,2.568696,10.513528,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/033,10.093262,8.291333,1,Camel,,,Science
Camel/034,8.461081,11.78099,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,General Assistant
Camel/035,2.3353016,8.961869,1,Camel,,,General Assistant
Camel/036,9.894883,11.051672,1,Camel,,,General Assistant
Camel/037,8.718419,11.816562,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,General Assistant
Camel/038,3.2738988,8.31094,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,General Assistant
Camel/039,11.099564,8.826355,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,World Knowledge
Camel/040,10.8849945,8.812709,1,Camel,,,World Knowledge
Camel/041,2.4570599,9.533688,1,Camel,,,World Knowledge
Camel/042,9.526512,10.352705,1,Camel,,,World Knowledge
Camel/043,2.3763456,10.330541,1,Camel,,,World Knowledge
Camel/044,10.087562,11.049442,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,World Knowledge
Camel/045,9.380552,10.913451,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,World Knowledge
Camel/046,1.8164306,8.881346,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,World Knowledge
Camel/047,2.4102943,10.467222,1,Camel,,,World Knowledge
Camel/048,2.0051975,10.726357,1,Camel,,,World Knowledge
Camel/049,1.9108882,10.214422,0,Camel,Retrieval Hallucination,Context Misalign,World Knowledge
Camel/050,11.243198,10.479845,1,Camel,,,World Knowledge
Camel/051,1.4146022,10.271,0,Camel,Retrieval Hallucination,Summarize Misalign,World Knowledge
Camel/052,1.7870568,9.277543,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/053,2.1312058,8.054256,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/054,11.878986,9.822173,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/055,1.2377099,10.06144,0,Camel,Planning Hallucination,Task Decompose,Science
Camel/056,1.7698913,9.983737,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/057,3.1936145,10.285658,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/058,0.11045015,9.689043,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/059,1.4050856,9.711885,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/060,2.911529,8.83937,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/061,1.7874975,9.009857,1,Camel,,,Science
Camel/062,0.1577922,9.670822,1,Camel,,,Science
Camel/063,2.129997,8.394784,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/064,1.6549637,9.443252,1,Camel,,,Science
Camel/065,1.6166881,9.81309,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/066,1.549132,10.433941,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/067,3.3558261,10.173607,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/068,11.537192,9.3772955,1,Camel,,,Science
Camel/069,8.44216,8.443152,1,Camel,,,Science
Camel/070,1.9428201,8.459606,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/071,1.2458463,9.262294,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/072,2.2344286,7.867934,0,Camel,Reasoning Hallucination,Science Reasoning,Science
Camel/073,-0.0825846,9.665629,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/074,2.048108,9.177048,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Science
Camel/075,10.995229,6.4254475,0,Camel,Planning Hallucination,Task Decompose,Science
Camel/076,11.454678,7.790935,1,Camel,,,Math
Camel/077,11.388253,7.851382,1,Camel,,,Math
Camel/078,10.006466,8.247725,1,Camel,,,Math
Camel/079,9.16595,11.57006,1,Camel,,,Math
Camel/080,9.632359,9.812599,1,Camel,,,Math
Camel/081,8.399472,6.7079186,1,Camel,,,Math
Camel/082,11.485096,11.179784,1,Camel,,,Math
Camel/083,2.016623,9.306985,1,Camel,,,Math
Camel/084,10.290987,8.052411,1,Camel,,,Math
Camel/085,12.189845,11.41429,1,Camel,,,Math
Camel/086,8.335574,7.1025224,1,Camel,,,Math
Camel/087,2.1560676,10.327014,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Camel/088,2.2526755,10.451852,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Camel/089,1.0738482,8.359332,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Camel/090,8.900922,11.97046,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Camel/091,2.055949,9.776937,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Camel/092,2.4473598,10.460873,0,Camel,Human-Interaction Hallucination,Human-Interaction Hallucination,Math
Magentic_One/000,3.186945,8.046281,1,Magentic_One,,,World Knowledge
Magentic_One/001,1.1664468,10.098681,0,Magentic_One,Reasoning Hallucination,Science Reasoning,Science
Magentic_One/002,9.122675,11.028812,0,Magentic_One,Reasoning Hallucination,Science Reasoning,Science
Magentic_One/003,10.383124,6.5739,1,Magentic_One,,,World Knowledge
Magentic_One/004,8.905456,9.012875,1,Magentic_One,,,General Assistant
Magentic_One/005,9.7635145,9.92634,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/006,8.417019,8.179515,1,Magentic_One,,,World Knowledge
Magentic_One/007,2.3422024,7.6919465,0,Magentic_One,Reasoning Hallucination,Science Reasoning,Science
Magentic_One/008,8.860915,8.206243,0,Magentic_One,Retrieval Hallucination,Context Misalign,General Assistant
Magentic_One/009,9.945428,9.888037,1,Magentic_One,,,General Assistant
Magentic_One/010,2.4475427,9.57968,0,Magentic_One,Planning Hallucination,Fact Derive,Science
Magentic_One/011,3.8411047,8.143201,0,Magentic_One,Planning Hallucination,Fact Derive,Science
Magentic_One/012,1.8675162,10.382943,0,Magentic_One,Planning Hallucination,Task Decompose,Math
Magentic_One/013,9.418383,10.739314,0,Magentic_One,Retrieval Hallucination,Context Misalign,General Assistant
Magentic_One/014,10.692008,10.741723,1,Magentic_One,,,Science
Magentic_One/015,3.4016404,8.116113,1,Magentic_One,,,Science
Magentic_One/016,11.440743,7.705916,0,Magentic_One,Retrieval Hallucination,Context Misalign,World Knowledge
Magentic_One/017,2.323413,7.74929,0,Magentic_One,Reasoning Hallucination,General Reasoning,General Assistant
Magentic_One/018,3.2009363,10.213862,0,Magentic_One,Reasoning Hallucination,Math Reasoning,Math
Magentic_One/019,9.4007015,6.3830647,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/020,8.557663,8.577502,0,Magentic_One,Reasoning Hallucination,General Reasoning,General Assistant
Magentic_One/021,11.516763,7.6319475,0,Magentic_One,Retrieval Hallucination,Context Misalign,World Knowledge
Magentic_One/022,11.739466,9.604922,0,Magentic_One,Planning Hallucination,Fact Derive,World Knowledge
Magentic_One/023,12.161814,11.367891,0,Magentic_One,Reasoning Hallucination,Math Reasoning,Math
Magentic_One/024,8.847833,10.93336,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/025,11.566086,8.33506,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/026,1.9130468,10.613848,1,Magentic_One,,,General Assistant
Magentic_One/027,8.277614,12.047174,1,Magentic_One,,,Science
Magentic_One/028,2.4902885,10.35143,0,Magentic_One,Planning Hallucination,Fact Derive,Science
Magentic_One/029,1.735662,10.410034,1,Magentic_One,,,Math
Magentic_One/030,2.282929,10.374877,1,Magentic_One,,,Math
Magentic_One/031,8.561385,11.686677,0,Magentic_One,Reasoning Hallucination,Math Reasoning,Math
Magentic_One/032,3.3769329,8.244456,0,Magentic_One,Planning Hallucination,Fact Derive,Math
Magentic_One/033,2.405756,10.195724,1,Magentic_One,,,Math
Magentic_One/034,9.43948,9.842056,0,Magentic_One,Retrieval Hallucination,Context Misalign,World Knowledge
Magentic_One/035,11.372422,8.44692,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/036,10.353972,6.921791,1,Magentic_One,,,World Knowledge
Magentic_One/037,11.22438,8.019804,0,Magentic_One,Retrieval Hallucination,Context Misalign,World Knowledge
Magentic_One/038,8.201848,12.192718,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/039,10.831128,10.552325,1,Magentic_One,,,World Knowledge
Magentic_One/040,11.142107,10.495844,1,Magentic_One,,,World Knowledge
Magentic_One/041,2.4706416,7.8515625,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/042,11.587732,8.604142,0,Magentic_One,Reasoning Hallucination,Factual Reasoning,World Knowledge
Magentic_One/043,8.19746,12.129369,0,Magentic_One,Reasoning Hallucination,Math Reasoning,Math
Magentic_One/044,1.4170581,8.458382,1,Magentic_One,,,Science
Magentic_One/045,3.042808,10.453457,0,Magentic_One,Reasoning Hallucination,Science Reasoning,Science
Magentic_One/046,0.99751294,9.093497,0,Magentic_One,Planning Hallucination,Fact Derive,Science
Magentic_One/047,1.495991,10.179526,0,Magentic_One,Planning Hallucination,Fact Derive,Science
Magentic_One/048,8.819422,8.969776,1,Magentic_One,,,Science
Magentic_One/049,2.4395428,10.461692,1,Magentic_One,,,Science
Magentic_One/050,10.303717,5.4345894,1,Magentic_One,,,General Assistant
Magentic_One/051,2.3179417,10.443489,0,Magentic_One,Reasoning Hallucination,General Reasoning,General Assistant
Magentic_One/052,1.6183527,10.468051,0,Magentic_One,Reasoning Hallucination,General Reasoning,General Assistant
Magentic_One/053,8.134954,12.105082,1,Magentic_One,,,General Assistant
Magentic_One/054,7.8293915,12.131838,0,Magentic_One,Reasoning Hallucination,General Reasoning,General Assistant
Magentic_One/055,9.916464,7.416493,1,Magentic_One,,,General Assistant
Magentic_One/056,1.7198423,10.633178,1,Magentic_One,,,General Assistant
Magentic_One/057,10.65627,10.650466,1,Magentic_One,,,General Assistant
