id,fold,subject,true_type,pred_type,correct,prob_Human-Interaction Hallucination,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination,prob_Tool-Use Hallucination
BFCL/047,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.000775309868561896,0.00039926114794741646,0.0002005924885960371,0.0027468051799537222,0.9958780313149409
BFCL/048,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00024347204016621438,0.00048821922525145385,0.0011203099361420056,0.0005085734901242413,0.9976394253083162
BFCL/049,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0008463658740934707,0.008330125730115226,0.006504473879669931,0.04642460629470599,0.9378944282214154
BFCL/051,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00501264502171741,0.003506213426820787,0.0005231534803187037,0.0016541485538641707,0.989303839517279
BFCL/052,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.03080244775429683,0.008115002481452364,0.13714014926527449,0.20464701568479463,0.6192953848141817
BFCL/054,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.01767211138971657,0.021293206830823138,0.016860685880073105,0.012577856975385252,0.931596138924002
BFCL/056,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00011346491169714708,0.00020260399506281392,0.002284535895052647,0.00014577903352942876,0.9972536161646579
BFCL/057,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00021374313130664187,0.003382493368423846,0.0012891249363154891,0.0031748458400708123,0.9919397927238832
BFCL/058,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.025527319104535873,0.03441436094196642,0.0024041928520035804,0.0013857971326745292,0.9362683299688196
BFCL/059,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,9.042254975690208e-05,0.00026357737538596285,0.000119050114851573,4.32233815494729e-06,0.9995226276218506
BFCL/060,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0019282205497781033,0.004607539876472922,0.010852404056729669,0.0008758971126763987,0.981735938404343
BFCL/061,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0012671532406884794,0.0024000327971795974,0.05775447445147277,0.019965647871991548,0.9186126916386677
BFCL/062,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.001454738135212039,0.00026632422571922117,8.698140397507304e-05,0.00021569012164317366,0.9979762661134506
BFCL/063,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0013411530635004637,0.0002936979569251073,0.002254954678988346,3.2183138928779295e-05,0.9960780111616573
BFCL/064,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0035043438478646258,0.00011945102995638502,0.0006163543939374352,0.0021181300136011607,0.9936417207146404
BFCL/066,3,Tool Use,Tool-Use Hallucination,Retrieval Hallucination,0,0.056443780592393564,0.07831354639536962,0.21854114280509315,0.45101003337254986,0.19569149683459391
BFCL/067,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0002225888395440782,6.872221823629532e-05,1.884128883895744e-05,1.3138643739170882e-05,0.9996767090096415
BFCL/069,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.01229359562853321,0.005739443866921566,0.0016457362418417166,0.004536304131099592,0.9757849201316039
BFCL/070,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.06354371792919296,0.02846173230992253,0.1244585948643847,0.028757589304618376,0.7547783655918815
BFCL/071,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0056948511945181645,0.005462940356863646,0.0015509225602491027,0.0009239603286962025,0.986367325559673
BFCL/072,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.014745024011205058,0.18890510367129068,0.029038063829320965,0.048760416130782656,0.7185513923574007
BFCL/074,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.008048128022860444,4.2165714872650985e-06,0.0004526444827857748,4.714352423035256e-05,0.9914478673986361
BFCL/075,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0001767393814207104,0.0002595918665059795,0.0002998150992031816,0.0002237062090366123,0.9990401474438336
BFCL/076,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.03679151867716123,0.0034571748548944087,0.000363190609646832,0.0004041358943329938,0.9589839799639647
BFCL/077,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.08710892440682215,0.007605052574680215,0.006348731760579932,0.015035089699808945,0.8839022015581087
BFCL/078,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.000355852625133578,0.0012364705475549887,0.0011001789199943841,0.0006060568039730292,0.9967014411033439
BFCL/080,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.003243703864311965,5.083359956981495e-05,0.004098949328004852,0.0010645644884678597,0.9915419487196455
BFCL/081,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.002348276338141568,0.0002530338764970397,0.011236713699909912,0.0035956620389679516,0.9825663140464835
BFCL/082,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0003859063775461509,0.10769664430483433,0.11699757228092764,0.02770012084785183,0.7472197561888401
BFCL/083,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.003924693908731425,0.006475366716149017,0.0006357869140077717,0.004272859478613567,0.9846912929824981
BFCL/085,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0009793433775784634,0.0008154245439534532,0.0043927465195718485,0.0045007913347090015,0.9893116942241872
BFCL/086,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.006697753313965144,0.0008561864847960231,0.0677471688114422,0.035438501142302695,0.889260390247494
BFCL/087,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0024173805910825416,0.0006108213608280753,0.0013344331308654557,0.0003077031259734807,0.9953296617912504
BFCL/089,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0014094481007197665,0.0016215260167398,0.0031875525977934542,0.00582640030032505,0.987955072984422
BFCL/091,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0007800618811348266,2.755441293305209e-08,0.0066477683587131626,0.0008770369570220884,0.991695105248717
BFCL/093,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0017080656089542019,0.04021527042648178,0.012531443519030735,0.0031222052455930384,0.9424230151999402
BFCL/094,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0009004420544261147,0.0007267736024067556,0.0022063474990379993,0.0029959494490552252,0.993170487395074
BFCL/097,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.06578949599542107,0.00035165132354611115,0.009172369453067057,0.17048285617340322,0.7542036270545626
BFCL/098,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0037161066282279695,0.0011330923366501958,0.09001446233996517,0.02609517442517713,0.8790411642699795
BFCL/101,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.005574822553508558,0.0010547401028800734,0.0005117249385510431,0.002207225504755114,0.9906514869003052
BFCL/103,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0007505650232367913,1.1060189883102478e-05,0.00022486961130325058,1.486892126388276e-05,0.9989986362543128
BFCL/104,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.006556333968291937,0.007231672806786007,0.006108449591117291,0.00690801488070312,0.9731955287531017
BFCL/108,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.004688018910410987,0.028334178416705637,0.2209521792729104,0.2913444807771449,0.4546811426228281
BFCL/110,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0036372128369237967,0.007148652195649828,0.02671611304081336,0.00434422714355311,0.9581537947830598
BFCL/111,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00045111300151230726,0.005225688265334621,0.007091235516360537,0.0004908755329836124,0.986741087683809
BFCL/112,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0035624040611442536,0.0026488528437480915,0.0074847731773506065,0.00651777168894946,0.9797861982288075
BFCL/115,4,Tool Use,Tool-Use Hallucination,Human-Interaction Hallucination,0,0.40551089424885706,0.04884092768027,0.2812934206569395,0.013296482991840521,0.2510582744220929
BFCL/117,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0003282084377284476,0.0034155305869958234,0.06378292603415509,0.03448678787327337,0.8979865470678473
BFCL/118,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.013999255708236895,0.006968407689453346,0.004769943229470771,0.009449593302539652,0.9648128000702993
BFCL/122,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00439534918687487,0.0009717639826180935,0.00019216864811543049,0.0004984750324945343,0.9939422431498972
BFCL/123,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.004445417568016286,0.0003435867964388098,0.00021872906017659496,0.0006693521490281413,0.9943229144263402
BFCL/126,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0022987236634981947,0.0005009055875415605,0.011109721644973975,0.007904115242694895,0.9781865338612913
BFCL/129,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0011158212689859745,0.0017227082201251482,0.0015220219630930362,0.008363354870173305,0.9872760936776226
BFCL/130,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0016047598689961644,0.013622568269740254,0.052942253295781935,0.028878710441634165,0.9029517081238474
BFCL/131,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0007071776330437281,0.0004931832652112162,0.00043717981462185624,0.0028639316104457795,0.9954985276766775
BFCL/133,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0030079226260863734,0.0005930991469787005,0.0071622006462086175,2.2446782088176137e-05,0.9892143307986381
BFCL/136,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.012958668157560528,0.02089408530114193,0.060250607268710336,0.018384809887662924,0.8875118293849242
BFCL/138,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0005023608291338734,0.01657718084873668,0.025664463963468335,0.014345154358926589,0.9429108399997346
BFCL/139,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.001772903574203829,0.005378673572445666,0.0036585426719089407,0.0015936876282331043,0.9875961925532084
BFCL/140,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00017981610961805586,0.0001057681070902942,0.0006446777550382259,0.00011353818764275299,0.9989561998406106
BFCL/141,1,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0005576901786505383,0.0002201347114679091,0.00015397985977997912,0.00019618694040268196,0.9988720083096989
BFCL/144,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.028679306053697767,0.004302823916047369,0.00830543017856004,0.08744413482566879,0.8712683050260261
BFCL/146,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0006784349120008824,3.5774325828910226e-05,0.0002701285302670055,0.010620364708403867,0.9883952975234993
BFCL/148,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.011763884256422462,0.1698819008036605,0.003972419495901936,0.008153826023143976,0.806227969420871
BFCL/151,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00017721856002549715,0.00011916264960691098,0.00025162218521399124,2.3853266049883638e-05,0.9994281433391037
BFCL/153,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.003795339905023052,0.06758362860189025,0.009467168695797784,0.00012690414301548848,0.9190269586542734
BFCL/155,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0011309232753960556,0.0029066199723387213,0.005065807069483264,0.0009930197515293602,0.9899036299312526
BFCL/156,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.004103438963467553,0.0002887190499346951,0.002114485326478821,6.645575459993725e-05,0.9934269009055191
BFCL/158,3,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0005404209519658515,0.010768361881538544,0.050853127201311306,0.005962111578839479,0.9318759783863447
BFCL/159,0,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.00522642415972187,0.007528121237271652,0.0038162195798459794,0.004688264314571705,0.9787409707085887
BFCL/160,4,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.0031015270812536637,0.00022902950141932916,0.005393416181997827,0.0015126358253796423,0.9897633914099494
BFCL/161,2,Tool Use,Tool-Use Hallucination,Tool-Use Hallucination,1,0.004827245316433846,0.0013293175857973846,0.0011602560839128688,0.0006083530731722339,0.9920748279406837
BFCL/162,4,Tool Use,Tool-Use Hallucination,Retrieval Hallucination,0,0.04866639086849684,0.221144394473524,0.16189513285685644,0.47446973019896455,0.09382435160215807
Camel/000,1,Math,Reasoning Hallucination,Planning Hallucination,0,0.005781787813779292,0.7407998912360934,0.23281611617253237,0.007452637715833481,0.01314956706176143
Camel/003,2,Math,Reasoning Hallucination,Reasoning Hallucination,1,0.12303341248671266,0.005659133589689692,0.8697166651973408,0.0006181835739462089,0.0009726051523105924
Camel/004,4,Science,Reasoning Hallucination,Tool-Use Hallucination,0,0.06698789895478742,0.04700604582592201,0.0833853296491502,0.37823002896307895,0.42439069660706136
Camel/005,3,General Assistant,Reasoning Hallucination,Tool-Use Hallucination,0,0.05070822871772934,0.08408160379944901,0.0072828328497242835,0.24285556512406967,0.6150717695090276
Camel/006,2,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.2851683627363475,0.02279883167597114,0.6725988291326829,0.019433944606523947,3.1848474542539056e-08
Camel/008,2,Math,Human-Interaction Hallucination,Planning Hallucination,0,0.22320778479074274,0.6431226164615004,0.011897840638425344,0.10642664221385066,0.015345115895480791
Camel/009,3,Math,Reasoning Hallucination,Retrieval Hallucination,0,0.12958791051263052,0.22236019062569265,0.1354362748561216,0.26151653976323536,0.2510990842423199
Camel/011,1,Science,Reasoning Hallucination,Retrieval Hallucination,0,0.20927245422731552,0.10340075460508198,0.058865222860222215,0.6284595365266767,2.031780703570703e-06
Camel/012,2,General Assistant,Retrieval Hallucination,Human-Interaction Hallucination,0,0.6257683034922626,0.011978325888182978,0.2934260098274687,0.04837355598967015,0.020453804802415584
Camel/014,2,Science,Retrieval Hallucination,Human-Interaction Hallucination,0,0.7583577227200915,0.006587594023983658,0.1923934894948492,3.283192424445663e-05,0.04262836183683106
Camel/016,3,World Knowledge,Planning Hallucination,Retrieval Hallucination,0,0.04396650933541083,0.38643522404456915,0.012491115869375036,0.46764259800859176,0.08946455274205317
Camel/018,1,Science,Planning Hallucination,Human-Interaction Hallucination,0,0.6028350316782901,0.14533956666626555,0.2188933971252533,0.03292401816039626,7.986369794877636e-06
Camel/019,0,General Assistant,Reasoning Hallucination,Planning Hallucination,0,0.0795264836844203,0.4433443550271196,0.03138916719241437,0.44216667864175535,0.0035733154542902743
Camel/020,3,World Knowledge,Retrieval Hallucination,Human-Interaction Hallucination,0,0.3815509469050402,0.3005353128997768,0.21444297128362622,0.10326153260925791,0.00020923630229892787
Camel/021,1,Science,Retrieval Hallucination,Human-Interaction Hallucination,0,0.4089376227684871,0.25249375512327904,0.09221212047991938,0.24558104355166524,0.000775458076649208
Camel/022,0,General Assistant,Retrieval Hallucination,Retrieval Hallucination,1,0.1496271709393593,0.23131914546469143,0.10247278281249912,0.444309387026312,0.07227151375713814
Camel/024,1,General Assistant,Planning Hallucination,Reasoning Hallucination,0,0.29180588240302013,0.20559699212476423,0.3123275402037726,0.08427070897717673,0.1059988762912662
Camel/026,0,Math,Reasoning Hallucination,Human-Interaction Hallucination,0,0.5380328716232604,0.3074399030451728,0.11722880815587441,0.03709166587776813,0.00020675129792435936
Camel/027,4,Math,Reasoning Hallucination,Reasoning Hallucination,1,0.17463872898849725,0.05355206656966692,0.604022279521359,0.1534651176002702,0.014321807320206643
Camel/029,1,World Knowledge,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.41170370518995614,0.11728109399408125,0.30908766123775366,0.1559419115113059,0.0059856280669030116
Camel/030,1,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.02119903026052195,2.3198084498446523e-05,0.9787542301660198,2.326322193520912e-05,2.7826702431690723e-07
Camel/031,1,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.13080182056694056,0.2992162348452378,0.44138130962109445,0.12449560961770528,0.004105025349021796
Camel/032,3,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.2497857394839486,0.047213983740964596,0.6053241501231353,0.09556919733654173,0.0021069293154098038
Camel/034,0,General Assistant,Human-Interaction Hallucination,Reasoning Hallucination,0,0.009197810181106858,0.011334151911335829,0.9325027493619759,0.00028329998107438366,0.04668198856450692
Camel/037,3,General Assistant,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.4763849513462117,0.0030348726571731983,0.11682366714861163,0.3628592141759398,0.040897294672063766
Camel/038,0,General Assistant,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.8386194032624558,0.05426237004656092,0.03256536864012339,0.07446634326431387,8.651478654598559e-05
Camel/039,1,World Knowledge,Human-Interaction Hallucination,Retrieval Hallucination,0,0.04131637306600795,0.39347326244066605,0.0755327494604868,0.4816804082944502,0.007997206738388942
Camel/044,3,World Knowledge,Human-Interaction Hallucination,Retrieval Hallucination,0,0.032865339477384084,0.061926349730113996,0.051384851759771075,0.8377354142828118,0.01608804474991903
Camel/045,0,World Knowledge,Human-Interaction Hallucination,Retrieval Hallucination,0,0.023946713192393585,0.030039912359565803,0.2946196328614318,0.6384110989397707,0.012982642646838117
Camel/046,3,World Knowledge,Human-Interaction Hallucination,Reasoning Hallucination,0,0.04472479269839651,0.17552944828432365,0.641730593305339,0.13801054491368112,4.620798259788559e-06
Camel/049,0,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,0.07056411503878794,0.022834489084700607,0.3099145227492918,0.5886878611305034,0.007999011996716219
Camel/051,1,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.3002589373220631,0.038164304160447526,0.6022052628987827,0.05927053192052297,0.00010096369818371179
Camel/052,1,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.02624863324883943,0.013190189086669768,0.8237943818094232,0.1367353856679205,3.141018714709227e-05
Camel/053,2,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.6176331616534599,0.15320365970108796,0.09816349866672365,0.13084638777452579,0.00015329220420271672
Camel/054,0,Science,Human-Interaction Hallucination,Retrieval Hallucination,0,0.15399030871661887,0.310289405508028,0.021524824958786326,0.40467403691815784,0.10952142389840876
Camel/055,3,Science,Planning Hallucination,Human-Interaction Hallucination,0,0.8034112808965544,0.024880555152391695,0.0518691793970994,0.11983738663072946,1.5979232250611584e-06
Camel/056,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.5168359939803665,0.003978912258935104,0.3428159980799222,0.025038209783721798,0.11133088589705448
Camel/057,2,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.7292581059856923,0.007440445790364772,0.013873242385928448,0.24941141503641573,1.679080159864526e-05
Camel/058,4,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.0008464178698738077,1.5505716071672537e-05,0.9991380696805061,6.5737125446721305e-09,1.5983593588275154e-10
Camel/059,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.8477653136082147,0.028613094459230867,0.11923934675871467,0.004366705650438146,1.553952340177203e-05
Camel/060,3,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.4521053850250395,0.07989909116765934,0.10957644555617059,0.35259294387536005,0.005826134375770481
Camel/063,0,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.4585897230450944,0.35631581433620685,0.13583909700643843,0.03902523504346164,0.010230130568798835
Camel/065,0,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.18930796728069357,0.0029256230329560186,0.8070456186578313,0.0006233633337979312,9.742769472113887e-05
Camel/066,1,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.8178337291606624,0.006770125202650298,0.15747852828082284,0.0014165395232818153,0.01650107783258272
Camel/067,2,Science,Human-Interaction Hallucination,Planning Hallucination,0,0.21429241229025756,0.421074844578145,0.1299484544646464,0.2344005484174163,0.0002837402495346125
Camel/070,0,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.10273447931103796,0.00032415064503362763,0.8947663540403905,0.0021739768893056003,1.0391142323189434e-06
Camel/071,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9130251055928553,0.021515574835275622,0.06469174329109109,0.0005462921449677913,0.00022128413581018607
Camel/072,3,Science,Reasoning Hallucination,Human-Interaction Hallucination,0,0.798091852087528,0.012286880562256918,0.1815095707995711,0.007675964550121878,0.00043573200052216286
Camel/073,4,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.0023169012532992996,0.005407613473859482,0.9922754270388519,5.822207747247548e-08,1.1911939168618918e-11
Camel/074,3,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.09606307405913914,0.00483403723891106,0.896871511821065,0.0022313341062167717,4.277466799180696e-08
Camel/075,4,Science,Planning Hallucination,Planning Hallucination,1,0.06998434456003083,0.5936134397729028,0.17121562285404598,0.16371561256146597,0.001470980251554259
Camel/087,4,Math,Human-Interaction Hallucination,Reasoning Hallucination,0,0.12763524148486358,0.03393958915467615,0.8320672621688672,0.006353792842913767,4.114348679483338e-06
Camel/088,3,Math,Human-Interaction Hallucination,Retrieval Hallucination,0,0.36477697933818454,0.1060803517918171,0.10633800059438894,0.42267109858069907,0.00013356969491027962
Camel/089,3,Math,Human-Interaction Hallucination,Reasoning Hallucination,0,0.013261873988939523,0.008991509307842968,0.9764540390387685,0.0012924925753024779,8.508914657134147e-08
Camel/090,2,Math,Human-Interaction Hallucination,Planning Hallucination,0,0.006371796405858197,0.9909057889908623,0.0008313415824018763,0.0008115815587986491,0.0010794914620789135
Camel/091,3,Math,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.5166493201435038,0.11040807741513929,0.3272525035955943,0.04568251561725433,7.583228508121806e-06
