id,fold,subject,true_type,pred_type,correct,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination
OpenDeepSearch/035,2,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.05175532648566776,0.5505609035400543,0.39768376997427796
OpenDeepSearch/039,3,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.008143527439528765,0.9689643420142873,0.022892130546183994
OpenDeepSearch/041,0,World Knowledge,Reasoning Hallucination,Planning Hallucination,0,0.8633847882383592,0.05580219940799518,0.0808130123536457
OpenDeepSearch/042,0,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.9824878003717266,0.004854671411104639,0.012657528217168708
OpenDeepSearch/043,0,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.399893765503692,0.37477668308473217,0.22532955141157593
OpenDeepSearch/045,4,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.20966479294358367,0.7885643698758534,0.0017708371805629888
OpenDeepSearch/046,3,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.5528827577776754,0.1276491580997635,0.3194680841225611
OpenDeepSearch/047,4,Math,Reasoning Hallucination,Retrieval Hallucination,0,0.00799351824035057,0.0001362027837660423,0.9918702789758834
OpenDeepSearch/061,4,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.6848190605891022,0.0664498222999636,0.24873111711093412
OpenDeepSearch/063,3,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.015045294256809215,0.9271285089207606,0.05782619682243031
OpenDeepSearch/067,4,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.3223383629851923,0.6494292060835498,0.028232430931257782
OpenDeepSearch/069,1,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.6276838306896058,0.0740265637329984,0.29828960557739576
OpenDeepSearch/070,2,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.0005140963032820426,0.8378253489314916,0.1616605547652264
OpenDeepSearch/074,2,World Knowledge,Reasoning Hallucination,Reasoning Hallucination,1,0.00954999539017431,0.6718878067267496,0.3185621978830762
OpenDeepSearch/076,2,World Knowledge,Planning Hallucination,Planning Hallucination,1,0.6890565514759844,0.12859974095633703,0.18234370756767856
OpenDeepSearch/078,1,World Knowledge,Planning Hallucination,Planning Hallucination,1,0.6798504139432875,0.11387674213590855,0.20627284392080403
OpenDeepSearch/079,0,World Knowledge,Planning Hallucination,Reasoning Hallucination,0,0.0723285736864166,0.8876925911992057,0.03997883511437788
OpenDeepSearch/080,0,World Knowledge,Planning Hallucination,Planning Hallucination,1,0.785491223767409,0.14112814390551112,0.0733806323270799
OpenDeepSearch/081,2,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,0.3914655920408166,0.03269558195832912,0.5758388260008542
OpenDeepSearch/082,1,World Knowledge,Reasoning Hallucination,Retrieval Hallucination,0,0.2853877350135328,0.0751795331958526,0.6394327317906146
OpenDeepSearch/086,3,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,0.0038276375040824945,0.24393873713653216,0.7522336253593854
OpenDeepSearch/087,1,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.0005210411647519398,0.9152249253974932,0.08425403343775478
OpenDeepSearch/088,0,Science,Planning Hallucination,Planning Hallucination,1,0.9938699451874025,0.0038112157185002395,0.0023188390940971993
OpenDeepSearch/089,2,Science,Planning Hallucination,Planning Hallucination,1,0.6686083228095624,0.18771101383967553,0.1436806633507619
OpenDeepSearch/090,4,Science,Planning Hallucination,Retrieval Hallucination,0,1.4801612927768235e-07,9.309378970921497e-08,0.9999997588900811
OpenDeepSearch/091,3,Science,Planning Hallucination,Retrieval Hallucination,0,0.023694126823358704,0.0005192887728400247,0.9757865844038013
OpenDeepSearch/095,1,Math,Reasoning Hallucination,Planning Hallucination,0,0.6063178713649214,0.12854994165462985,0.26513218698044866
OpenDeepSearch/096,1,Math,Planning Hallucination,Reasoning Hallucination,0,0.04349211985787148,0.8993729722584806,0.05713490788364806
OpenDeepSearch/097,2,Math,Planning Hallucination,Reasoning Hallucination,0,0.21087846528006543,0.6023088965789877,0.186812638140947
OpenDeepSearch/098,3,Math,Planning Hallucination,Retrieval Hallucination,0,0.008709050215571343,0.012216154044838758,0.9790747957395899
