id,fold,subject,true_type,pred_type,correct,prob_Human-Interaction Hallucination,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination
Camel/027,1,Math,Reasoning Hallucination,Planning Hallucination,0,0.13592341039475533,0.8249198650647775,0.03736745143118343,0.0017892731092835946
Camel/029,2,World Knowledge,Human-Interaction Hallucination,Retrieval Hallucination,0,0.2075200943783342,0.0005226459211852898,0.004594790145504056,0.7873624695549765
Camel/030,2,Science,Reasoning Hallucination,Human-Interaction Hallucination,0,0.9781547990934009,0.0012586012802080443,0.020560692451677853,2.590717471339942e-05
Camel/031,3,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.0007070345309831383,0.0002962571847733325,0.9988372426227717,0.00015946566147171038
Camel/032,1,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.33908036488225407,6.501098628946898e-05,0.4283617399097447,0.23249288422171174
Camel/034,1,General Assistant,Human-Interaction Hallucination,Reasoning Hallucination,0,0.23953900833911926,0.13925821142368802,0.5178796660387692,0.10332311419842358
Camel/037,3,General Assistant,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.35092355972256034,0.0972738978390359,0.2284470911073253,0.32335545133107835
Camel/038,0,General Assistant,Human-Interaction Hallucination,Reasoning Hallucination,0,0.3149130396466864,0.19905242511287083,0.3185974817418269,0.16743705349861582
Camel/039,2,World Knowledge,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9402385033597689,0.005881222573477734,0.015864557096910422,0.03801571696984303
Camel/044,3,World Knowledge,Human-Interaction Hallucination,Planning Hallucination,0,0.2957045071305185,0.6950960916683091,0.0015431823827507382,0.007656218818421822
Camel/045,4,World Knowledge,Human-Interaction Hallucination,Retrieval Hallucination,0,0.017807576760200176,0.01813580443753894,0.006727244551835077,0.9573293742504257
Camel/046,0,World Knowledge,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9956680390544779,0.0008855241454637986,0.0007588948340521196,0.0026875419660063594
Camel/049,0,World Knowledge,Retrieval Hallucination,Human-Interaction Hallucination,0,0.5948125551107601,0.09862877359219391,0.07985533086145588,0.22670334043559007
Camel/051,0,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.06123778461312316,0.9178059805388036,0.007710285457098313,0.013245949390974864
Camel/052,1,Science,Human-Interaction Hallucination,Retrieval Hallucination,0,0.19748092183055163,0.1134072824304449,0.10919609936812344,0.57991569637088
Camel/053,4,Science,Human-Interaction Hallucination,Retrieval Hallucination,0,0.32673612602462204,0.0005675143261936401,0.325926139409678,0.34677022023950627
Camel/054,2,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.110012402222397,0.05428418277791524,0.5177769087257174,0.31792650627397034
Camel/055,0,Science,Planning Hallucination,Human-Interaction Hallucination,0,0.7140225492184447,0.0019172955412738685,0.16987989077038326,0.1141802644698983
Camel/056,2,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.6731225171928451,0.011148420511497325,0.2707739886088696,0.04495507368678789
Camel/057,1,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9656226280930916,4.224546337321713e-07,1.865429822823246e-06,0.034375084022451874
Camel/058,2,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9450647000976931,0.0018144524226282452,0.0443663338517808,0.008754513627898038
Camel/059,1,Science,Human-Interaction Hallucination,Planning Hallucination,0,0.12086703684054347,0.5240738592990181,0.3518665160272189,0.0031925878332194828
Camel/060,2,Science,Human-Interaction Hallucination,Retrieval Hallucination,0,0.014549066838006183,0.0008931309499479656,0.48156528606495486,0.5029925161470911
Camel/063,3,Science,Human-Interaction Hallucination,Retrieval Hallucination,0,0.37941781322203827,1.190222589732349e-05,0.02666537377171472,0.5939049107803497
Camel/065,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9996738931099449,3.7187583238898226e-05,5.752736088813769e-05,0.00023139194592822906
Camel/066,0,Science,Human-Interaction Hallucination,Reasoning Hallucination,0,0.08289287641921626,0.00976848505709,0.8773220909458137,0.03001654757788003
Camel/067,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.5161307085371931,0.029735394951150844,0.34317343368464454,0.11096046282701151
Camel/070,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9804073132189025,3.071708753072062e-05,0.017419841045387106,0.002142128648179565
Camel/071,0,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9112995655712949,0.005225886507946913,0.050953087808020804,0.03252146011273747
Camel/072,2,Science,Reasoning Hallucination,Human-Interaction Hallucination,0,0.9967920312606641,1.282366002531958e-05,0.001442913050610915,0.0017522320286995174
Camel/073,1,Science,Human-Interaction Hallucination,Planning Hallucination,0,0.06994400397815642,0.9273339592891842,0.002689493964761135,3.2542767898185497e-05
Camel/074,4,Science,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9999851879359021,5.41230010223889e-06,7.238304549373959e-07,8.675933540597108e-06
Camel/075,1,Science,Planning Hallucination,Reasoning Hallucination,0,0.017377481810586955,0.013287772982315812,0.9688371066191096,0.0004976385879877455
Camel/087,0,Math,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9811136479741962,0.011438848785423159,0.004592177098558103,0.0028553261418227823
Camel/088,3,Math,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.5903638737325223,0.018617590113227892,0.002874687755144057,0.38814384839910565
Camel/089,3,Math,Human-Interaction Hallucination,Human-Interaction Hallucination,1,0.9993182725270751,1.3391442006621269e-05,1.8520814739248722e-05,0.0006498152161790717
Camel/090,0,Math,Human-Interaction Hallucination,Reasoning Hallucination,0,0.14055253002383128,0.26391703036601416,0.5944903458233803,0.0010400937867741653
Camel/091,3,Math,Human-Interaction Hallucination,Reasoning Hallucination,0,0.0008653492665875637,6.066270124753588e-05,0.8749594931060818,0.12411449492608298
Camel/092,1,Math,Human-Interaction Hallucination,Retrieval Hallucination,0,0.33517968452422986,0.0001492683366149474,0.26897475032888674,0.39569629681026836
