id,fold,subject,true_type,pred_type,correct,prob_Planning Hallucination,prob_Reasoning Hallucination,prob_Retrieval Hallucination
Magentic_One/025,0,World Knowledge,Reasoning Hallucination,Reasoning Hallucination,1,0.03443409922695639,0.8222582628996055,0.14330763787343812
Magentic_One/028,0,Science,Planning Hallucination,Planning Hallucination,1,0.9925995932420522,0.0065756669596776385,0.000824739798270205
Magentic_One/031,2,Math,Reasoning Hallucination,Retrieval Hallucination,0,0.3529777513362374,0.24017292964410006,0.4068493190196626
Magentic_One/032,2,Math,Planning Hallucination,Reasoning Hallucination,0,0.46059508590124265,0.5107944824103952,0.028610431688362234
Magentic_One/034,2,World Knowledge,Retrieval Hallucination,Planning Hallucination,0,0.4989951421150747,0.26239139734506023,0.23861346053986515
Magentic_One/035,2,World Knowledge,Reasoning Hallucination,Planning Hallucination,0,0.6131207992938517,0.10629701482400032,0.280582185882148
Magentic_One/037,3,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,0.0026051464970944425,0.16051748366196825,0.8368773698409374
Magentic_One/038,0,World Knowledge,Reasoning Hallucination,Reasoning Hallucination,1,0.11142029394150628,0.8626279268952999,0.02595177916319381
Magentic_One/041,0,World Knowledge,Reasoning Hallucination,Reasoning Hallucination,1,0.014080975440603695,0.9847692270440197,0.0011497975153766185
Magentic_One/042,4,World Knowledge,Reasoning Hallucination,Retrieval Hallucination,0,0.0012901071342891666,0.050807701463134895,0.947902191402576
Magentic_One/043,3,Math,Reasoning Hallucination,Retrieval Hallucination,0,0.005019362162730217,0.11720653974422446,0.8777740980930453
Magentic_One/045,4,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.46021011511157167,0.4922285260651056,0.04756135882332271
Magentic_One/046,3,Science,Planning Hallucination,Planning Hallucination,1,0.7310766913627732,0.2688866245707447,3.668406648222083e-05
Magentic_One/047,4,Science,Planning Hallucination,Planning Hallucination,1,0.9979383171401461,0.002049511506518989,1.2171353334763333e-05
Magentic_One/051,3,General Assistant,Reasoning Hallucination,Planning Hallucination,0,0.999973736737215,2.193040385908873e-05,4.332858926008292e-06
Magentic_One/052,4,General Assistant,Reasoning Hallucination,Reasoning Hallucination,1,0.10834826360148392,0.8916505142608798,1.2221376363457595e-06
Magentic_One/054,3,General Assistant,Reasoning Hallucination,Reasoning Hallucination,1,0.015136207262978485,0.9847868719358899,7.692080113161256e-05
Magentic_One/058,1,General Assistant,Planning Hallucination,Planning Hallucination,1,0.5316960224739508,0.32652544311030707,0.14177853441574217
Magentic_One/059,1,General Assistant,Reasoning Hallucination,Planning Hallucination,0,0.8346043483850629,0.15887531290617693,0.006520338708760063
Magentic_One/061,4,General Assistant,Planning Hallucination,Reasoning Hallucination,0,0.001926269845742176,0.9980731386636252,5.914906325805109e-07
Magentic_One/069,1,World Knowledge,Retrieval Hallucination,Reasoning Hallucination,0,0.050128773672211,0.94824255390304,0.0016286724247490825
Magentic_One/071,2,World Knowledge,Retrieval Hallucination,Retrieval Hallucination,1,0.012170631651031348,0.0071720880507872,0.9806572802981813
Magentic_One/073,2,Science,Planning Hallucination,Reasoning Hallucination,0,0.12341945164223019,0.876000889585897,0.0005796587718727579
Magentic_One/074,0,Science,Planning Hallucination,Planning Hallucination,1,0.6947682297345725,0.26611815970705316,0.03911361055837438
Magentic_One/075,1,Science,Reasoning Hallucination,Planning Hallucination,0,0.9993207908660143,0.0006398233636574785,3.938577032818829e-05
Magentic_One/076,2,Science,Reasoning Hallucination,Reasoning Hallucination,1,0.11725530248933527,0.8743154305913435,0.008429266919321167
Magentic_One/078,1,Science,Planning Hallucination,Planning Hallucination,1,0.5744870110668167,0.37972798240532885,0.04578500652785449
Magentic_One/079,2,Science,Planning Hallucination,Reasoning Hallucination,0,0.11240570538260339,0.8746090316953492,0.012985262922047467
Magentic_One/084,0,Science,Planning Hallucination,Reasoning Hallucination,0,0.0846362453017728,0.9153637311144754,2.3583751833324306e-08
Magentic_One/087,3,Math,Planning Hallucination,Reasoning Hallucination,0,0.0003672345600959911,0.8564140985150879,0.1432186669248162
Magentic_One/088,4,Math,Planning Hallucination,Reasoning Hallucination,0,0.0008712147975383699,0.9957509772296478,0.0033778079728136864
Magentic_One/089,3,Math,Reasoning Hallucination,Reasoning Hallucination,1,0.004019518129165228,0.9148322911023302,0.08114819076850464
Magentic_One/090,3,Math,Planning Hallucination,Planning Hallucination,1,0.6400596015556649,0.01697357929881901,0.3429668191455161
Magentic_One/091,3,Math,Planning Hallucination,Planning Hallucination,1,0.9166364297022386,0.07992470261681606,0.0034388676809452385
Magentic_One/092,2,Math,Planning Hallucination,Planning Hallucination,1,0.6179096041702697,0.1353798249667011,0.24671057086302917
Magentic_One/093,1,Math,Reasoning Hallucination,Reasoning Hallucination,1,0.011699068888037603,0.9780240392992393,0.010276891812723078
